standort_id,patch_idx,patch_row,patch_col,patch_x_mm,patch_y_mm,patch_size_px,valid_ratio,roughness_index,var_Nz,surface_entropy_Nz,albedo_variance,skewness_Nz,kurtosis_Nz,edge_mean,edge_std,edge_p95,edge_density_global,std_Nx,std_Ny,albedo_mean,mean_deviation_deg,patch_label_strikt,patch_label_locker,anteil_ausgemagert,cluster_id,datum,mischgut_typ_geschaetzt,groesstkorn_mm,flickstelle,mtd_mittel_mm,label_visuell_autor,label_visuell_betreuer,belichtung_s
S002,13,1,6,300,50,193,0.5556390775591291,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,14,2,0,0,100,193,0.6694944830733711,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,15,2,1,50,100,193,0.8820639480254503,0.3667781206396334,0.0071485550142824,2.510934313972296,0.1014036312699318,-2.266135931015014,6.633176803588867,0.2785399556159973,0.251461774110794,0.7747802138328552,0.0992512783053323,0.244065061211586,0.2737853825092315,0.9459993839263916,19.906295776367188,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,16,2,2,100,100,193,0.9321324062390935,0.4115802631068438,0.007345943711698,2.721029625870452,0.1042525023221969,-1.5526338815689087,2.972372055053711,0.3174841403961181,0.2468741089105606,0.8035150766372681,0.1299501742461334,0.2905048131942749,0.2915566265583038,0.9180083870887756,22.63303565979004,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,17,2,3,150,100,193,0.9677306773336196,0.3971364630641723,0.0060482462868094,2.6347422463959678,0.1103383153676986,-1.3714689016342163,2.084908962249756,0.3014500439167022,0.2290457934141159,0.7444636821746826,0.109662385219297,0.2818800806999206,0.2797516584396362,0.9601975679397584,21.497751235961918,ausgemagert,ausgemagert,0.964455421622057,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,18,2,4,200,100,193,0.9582807592150124,0.3911228053273215,0.0057232645340263,2.6047136692924564,0.1210753917694091,-1.3122544288635254,1.8272085189819336,0.2961323261260986,0.2201036214828491,0.7217854261398315,0.1068777139655414,0.2744138240814209,0.2787007391452789,0.9540125131607056,21.14024353027344,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,19,2,5,250,100,193,0.9434884157963972,0.3723627261892578,0.005443403031677,2.5155521943952626,0.0996790900826454,-1.6963539123535156,3.614222049713135,0.2759304642677307,0.2209281623363495,0.7082120180130005,0.0919360346005008,0.2563357651233673,0.2700851261615753,0.9519318342208862,20.0087947845459,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,20,2,6,300,100,193,0.8186796960992241,0.3533496304040354,0.004807208199054,2.444172896231268,0.0707704052329063,-1.841814637184143,4.530719757080078,0.2500118315219879,0.2047672420740127,0.6569456458091736,0.0716510903426791,0.2309394031763076,0.2674377560615539,0.922881841659546,19.279544830322266,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,21,3,0,0,150,193,0.6789175548336868,,,,,,,,,,,,,,,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,22,3,1,50,150,193,0.8777416843405192,0.3987903770978209,0.0079985549673438,2.6972572393638083,0.1035236120223999,-1.6970609426498413,3.529026508331299,0.3037351667881012,0.2422790676355362,0.7848168015480042,0.1174185655298975,0.2704912722110748,0.2930328249931335,0.9219260215759276,22.12268447875977,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
S002,23,3,2,100,150,193,0.9525087921823404,0.4170710332419909,0.0071586333215236,2.7336398449997104,0.1133413687348365,-1.4235200881958008,2.387924194335937,0.3221932053565979,0.2433772683143615,0.7977943420410156,0.1306651634723788,0.2865042984485626,0.30308997631073,0.9202750325202942,22.776456832885746,ausgemagert,ausgemagert,1.0,C01,2026-06-02,AC8,8,nein,1.44,ausgemagert,ausgemagert,1_10
