standort_id,patch_idx,patch_row,patch_col,patch_x_mm,patch_y_mm,patch_size_px,valid_ratio,roughness_index,var_Nz,surface_entropy_Nz,albedo_variance,skewness_Nz,kurtosis_Nz,edge_mean,edge_std,edge_p95,edge_density_global,std_Nx,std_Ny,albedo_mean,mean_deviation_deg
S002,18,2,4,200,100,193,0.9582807592150124,0.3911228053273215,0.005723264534026384,2.6047136692924564,0.12107539176940918,-1.3122544288635254,1.8272085189819336,0.29613232612609863,0.22010362148284912,0.7217854261398315,0.1068777139655414,0.2744138240814209,0.27870073914527893,0.9540125131607056,21.140243530273438
S002,19,2,5,250,100,193,0.9434884157963972,0.3723627261892578,0.005443403031677008,2.5155521943952626,0.09967909008264542,-1.6963539123535156,3.6142220497131348,0.2759304642677307,0.2209281623363495,0.7082120180130005,0.0919360346005008,0.2563357651233673,0.2700851261615753,0.9519318342208862,20.0087947845459
S002,20,2,6,300,100,193,0.8186796960992241,0.3533496304040354,0.004807208199054003,2.444172896231268,0.07077040523290634,-1.841814637184143,4.530719757080078,0.2500118315219879,0.20476724207401276,0.6569456458091736,0.07165109034267912,0.23093940317630768,0.26743775606155396,0.9228818416595459,19.279544830322266
S002,21,3,0,0,150,193,0.6789175548336868,,,,,,,,,,,,,,
S002,22,3,1,50,150,193,0.8777416843405192,0.39879037709782095,0.007998554967343807,2.6972572393638083,0.1035236120223999,-1.6970609426498413,3.529026508331299,0.3037351667881012,0.2422790676355362,0.7848168015480042,0.11741856552989753,0.27049127221107483,0.29303282499313354,0.9219260215759277,22.122684478759766
S002,23,3,2,100,150,193,0.9525087921823404,0.4170710332419909,0.007158633321523666,2.7336398449997104,0.11334136873483658,-1.4235200881958008,2.3879241943359375,0.3221932053565979,0.24337726831436157,0.7977943420410156,0.1306651634723788,0.2865042984485626,0.30308997631073,0.9202750325202942,22.776456832885742
S002,24,3,3,150,150,193,0.975784584821069,0.4158844980571794,0.0073632230050861835,2.7285539366909117,0.1738317906856537,-1.2767350673675537,1.3684382438659668,0.3110238313674927,0.24153485894203186,0.7924960851669312,0.12653038765235095,0.3004065454006195,0.28760358691215515,1.030123233795166,22.569072723388672
S002,25,3,4,200,150,193,0.9886976831592794,0.3952332029731397,0.005785955581814051,2.618244304667594,0.15319061279296875,-1.2120611667633057,1.1725988388061523,0.29709869623184204,0.2244011014699936,0.7368717193603516,0.11016074725752145,0.27791449427604675,0.28102102875709534,1.0295495986938477,21.339540481567383
S002,26,3,5,250,150,193,0.9609117023275793,0.3845010607928947,0.005340424831956625,2.5740042198784194,0.11395079642534256,-1.3503481149673462,1.9374198913574219,0.2814319431781769,0.21019209921360016,0.6957234740257263,0.08979409381722683,0.2642524242401123,0.2793057858943939,0.9587171673774719,20.801698684692383
S002,27,3,6,300,150,193,0.7959945233429085,0.3841022422375332,0.006376163102686405,2.6315357454669925,0.08655066043138504,-1.5249464511871338,2.699615478515625,0.288844496011734,0.22944602370262146,0.7467886805534363,0.10209106239460371,0.2479599416255951,0.2933434844017029,0.9074718356132507,21.345726013183594
S002,28,4,0,0,200,193,0.6462455367929341,,,,,,,,,,,,,,
S002,29,4,1,50,200,193,0.8683723052967864,0.397329103711108,0.0075522419065237045,2.6759259211902586,0.08911382406949997,-1.6367805004119873,3.2361321449279785,0.296348512172699,0.23667016625404358,0.7609764337539673,0.11188400420453842,0.26642462611198425,0.2947682738304138,0.9143794775009155,21.84020233154297
